parent_id,parent,reply,character
24,I’ve been meaning to ask her one question. Does the carpet match the drapes?,"Oh, my God! Oh! That’s… horrifying. Horrible. Horrible person.",Michael
25,So do you think we could keep a lid on this for now? I don’t want to worry people unnecessarily.,"No, absolutely. Under this regime, it will not leave this office. Like that.",Michael
26,This is Mr. Scott.,Guilty! Guilty as charged!,Michael
27,Ryan Howard from the temp agency. Daniqua sent me down to start today.,"Howard, like Moe Howard. Three Stooges.",Michael
28,Yup.,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! Ah, right here. Three Stooges. Oh, Pam. It’s a guy thing, Pam. I’m sort of a student of comedy. Watch this. Here we go. I’m Hitler. Adolf Hitler.",Michael
29,You just still have these messages from yesterday.,"Relax. Everything’s under control. Uh, yeah. Yeah. That’s important. Right. Oh this is so important, I should run to answer it.",Michael
30,What?,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don’t you think? Six million dollars? Memo to Jan. I deserve a raise.",Michael
31,Don’t we all?,I’m sorry?,Michael
32,Nothing.,"If you’re unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional.",Michael
33,I’m Assistant Regional Manager. I should know first.,Assistant to the Regional Manager.,Michael
34,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",I’m about to tell everybody. I’m just about to tell everybody.,Michael
35,"Please, OK? Do you want me to tell ’em?",You don’t know what it is.,Michael
36,OK. You tell ’em. With my permission. Permission granted.,I don’t need your permission.,Michael
37,Go ahead.,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,Michael
38,"Yeah but Michael, what if they downsize here?",Not gonna happen.,Michael
39,It could be out of your hands Michael.,"It won’t be out of my hands Stanley, OK. I promise you that.",Michael
40,On his mother’s grave.,No.,Michael
41,What?,"Well, yeah, it is a promise. And frankly, I’m a little insulted that you have to keep asking about it.",Michael
42,It’s just that we need to know.,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",Michael
43,Are you sure about that?,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",Michael
44,"You can’t say for sure whether it’ll be us or them, can you?","No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they’re gonna have to go through me. Right? You can go mess with Josh’s people, but I’m the head of this family, and you ain’t gonna be messing with my chillin.",Michael
45,What’s up? Nice to meet you.,Introduce yourself. Be polite.,Michael
46,"Dwight Schrute, Assistant Regional Manager.","Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",Michael
47,"Uh… yeah I got a ’78 280Z. Bought it for $1,200. Fixed it up. It’s now worth three grand.",That’s his profit.,Michael
48,Damn it! Jim!,"OK. Hold on, hold on. The judge is in session. What is the problem here?",Michael
49,That is my stapler.,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world which I hate, and it is a waste of that kind of food.",Michael
50,It’s always you. Are you going to discipline him or not?,"Discipline. Kinky! All right, here’s the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",Michael
51,Yeah.,"And yeah, Jim this is the time to stop putting Dwight’s personal effects into Jell-O.",Michael
52,"OK. Dwight, I’m sorry, because I have always been your biggest flan.",Nice. That’s the way it is around here. It just kind of goes round and round.,Michael
53,You should’ve put him in custardy.,Hey! Yes! New guy! He scores.,Michael
54,"OK, that’s great. I guess what I’m most concerned with is damage to company property. That’s all.",Pudding. Pudding… I’m trying to think of another dessert to do.,Michael
55,Yeah.,"You are gonna be my accomplice. Just go along with it, OK?",Michael
56,All right.,"Just follow my lead. Don’t pimp me, all right? Come in. So, uh, Corporate just said that I don’t want to…",Michael
57,You got a fax.,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",Michael
58,What? Why?,"Why? Well, theft and stealing.",Michael
59,Stealing? What am I supposed to have stolen?,Post-it Notes.,Michael
60,"Post-it Notes? What are those worth, 50 cents?","50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know, you’ve made a profit… margin. You’re gonna run us out of business, Pam.",Michael
61,Are you serious?,Yeah. I am.,Michael
62,I can’t believe this. I mean I have never even stolen as much as a paperclip and you’re firing me.,But the best thing about it is that we’re not going to have to give you any severance pay. Because that is gross misconduct and… Just clean out your desk. I’m sorry.,Michael
63,But the best thing about it is that we’re not going to have to give you any severance pay. Because that is gross misconduct and… Just clean out your desk. I’m sorry.,"You been X’d punk! Surprise! It’s a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you… God, we totally got you.",Michael
64,You’re a jerk.,I don’t know about that.,Michael
65,"Dwight Schrute. My father’s name, also Dwight Schrute. My grandfather’s name, Dweide Schrude, Amish. That’s my family. I don’t know where they came, the Amish, came from originally. Uh, Amland.",Hello. I’m Michael Scott. I’m the best boss in the world.,Michael
66,I guess.,"Yeah, at one time or another every guy in the office has sprayed on Pam.",Michael
67,What?,Messages?,Michael
68,"Uh, Shemp.",Curly? Very good. Curly Joe DeRita.,Michael
69,Just Curly. Joe DeRita was different.,"Well, comedy’s kinda my thing. Watch this, here’s Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. I’m Hitler. Right. Me, me, me, me, me, me. Curly Joe Hitler.",Michael
70,Wired.,"Oh, John Belushi. What a crazy guy. Phew, freaked myself out this morning.",Michael
71,"Oh, yeah.","Yeah. I thought I found a lump. I checked the, uh… I check the jewels every month. This time… You know, it’s a little different. It was fine. It was fine. But freaky, man, you know. Testicular cancer, God. Cancer, whoa testicles. So… What’s, um… What you eating?",Michael
72,Smoked turkey.,"Oh, place around the corner. Nice. All right. See you later.",Michael
73,"Oh, I’m all set, thanks.",Gotcha. Good. I’d go with the rows. That’s a good idea.,Michael
74,All right.,Did you have a good weekend going there?,Michael
75,It was fine.,"Oh yeah, I bet it was fun. Oh, hey! This is Oscar—",Michael
76,Martinez.,"Right. See? I don’t even know, first-name basis!",Michael
77,Great. We’re all set.,"Oh hey, well, diversity, everybody, let’s do it. Oscar works in… here. Jim, could you wrap it up, please?",Michael
78,"Yeah, uh, Mr. Decker, please.","It’s diversity day, Jim. I wish every day was diversity day.",Michael
79,Thank you. Thank you. Thank you. Great.,"Come on people, let’s get ’em in. Get in the cards! Get in the cards!",Michael
80,"Thank you. Thank you very much. OK. Thanks for filling these out and I promise this’ll be quick. At Diversity Today, our philosophy is about honesty and positive expectations. We believe that 99% of the problems in the workplace arise simply out of ignorance.","You know what? This is a color-free-zone here. Stanley, I don’t look at you as another race.",Michael
81,"Uh, see this is what I’m talking about. We don’t have to pretend we’re color-blind.","Exactly, were not…",Michael
82,That’s fighting ignorance with more ignorance.,With tolerance.,Michael
83,No. With more ignorance.,Ignorance.,Michael
84,"Right. Exactly. Uh, instead, we need to celebrate our diversity.",Let’s celebrate.,Michael
85,Right. OK.,Celebrate good times. Come on! Let’s celebrate diversity. Right?,Michael
86,"Yes, exactly. Now here’s what we’re going to do. I’ve noticed that…",You know what? Here’s what we’re going to do. Why don’t we go around and everybody… everybody say a race that you are attracted to sexually. I will go last. Go.,Michael
87,"Actually, I’d prefer not to start that way. Michael, I would love to have your permission to run this session. Can I have your permission?",Yes.,Michael
88,Thank you very much. And it would also help me if you were seated.,OK.,Michael
89,A few of the ground rules?,"Hey, hey why don’t you run it by me and I’ll run it by him.",Michael
90,I figured it would save time.,OK. Why don’t we just defer to Mr…,Michael
91,Mr. Brown.,"Ah. Oh, right! OK. First test. I will not call you that.",Michael
92,So we’re going to reenact this with a more positive outcome.,I will play the Chris Rock guy. I would like to see someone else pull this off.,Michael
93,"Well, let’s have someone who wasn’t involved in the reenactment.","OK, I will play guy listening.",Michael
94,Great. You’re the Chris Rock guy and you’re guy listening.,OK.,Michael
95,"Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.","OK. I’m sorry. I’m sorry. He’s ruin… He’s butchering it. Could you just let me… Every time… Every time black people want to have a good time, some ignant ass… I take care of my kid!",Michael
96,Wait a second.,They always want credit for something they supPOSED to do!,Michael
97,Stop it!,What you want a cookie?,Michael
98,"Now, I need you to take these forms. This kind of expresses the joint experience we had today. And I need you to look ’em over and sign them as kind of a group pledge.",I don’t think I can sign this.,Michael
99,I can’t leave until you do.,"Well, OK, it says here that I learned something and I knew all this stuff already, so… I know, I could sign something that says that I taught something, or that I helped you teach something, so… Pam! Where is she? Pam, could we change something on this?",Michael
100,"Michael, can I talk to you candidly?",Sure.,Michael
101,We both know that I’m here because of the comments you made.,"Here’s the thing. This office, I think this is very advanced in terms of… racial awareness and it’s probably more advanced than you’re used to. That’s probably throwing you off a little bit.",Michael
102,"Um, it’s not throwing me. I need your signature.","OK, well I know. You told me that several times.",Michael
103,"Yes, but you’re not listening to me. Yours is the only signature I need.",OK.,Michael
104,Those are my instructions from the Corporate offices to put you through this seminar for the comments that you made. The reason I made copies for everyone was so you wouldn’t be embarrassed.,"Well, here I am thinking that you actually cared about diversity training. And you don’t.",Michael
105,Don’t worry about dating.,I won’t.,Michael
106,OK. Thank you.,"Yeah, yeah.",Michael
107,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.","“I pledge to always keep an open mind and an open heart.” I do believe… in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look… the guy, “Mr. Brown,” he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don’t. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn’t see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I’m going to have you all in tears.",Michael
108,"Hey, we’re not all going to sit in a circle Indian style are we?",Get out.,Michael
109,I’m sorry.,"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let’s go. Let’s do it. Come on. Let’s have some fun, everybody. Here we go. Take a seat. Cop a squat. And um… thanks for coming in. Um… Diversity… is the cornerstone of progress as I’ve always said. But don’t take my word for it. Let’s take a look at the tape.",Michael
110,": Uh, is that it?",Yes. I only had an hour to put it together but I’m going to add on to it later on.,Michael
111,It was kind of hard to hear.,"Uh, yes. That probably had something to do with the camera work. Anybody else? Um…",Michael
112,I have a customer meeting.,"Yeah, well, if you leave we’ll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let’s get down to business and why don’t I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian.",Michael
113,What part Native American?,Two fifteenths.,Michael
114,"Two fifteenths, that fraction doesn’t make any sense.","Well, you know what, it’s kind of hard for me to talk about it. Their suffering. So who else? Let’s get this popping. Come on. Who’s going? Who’s going? Let’s go here. Oscar, right here. You’re on.",Michael
115,"OK, Michael, um… Both my parents were born in Mexico.","Oh, yeah…",Michael
116,"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States.",Wow.,Michael
117,My parents were Mexican.,"Wow. That is… That is a great story. That’s the American Dream right there, right?",Michael
118,Thank… Yeah…,"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?",Michael
119,Mexican isn’t offensive.,"Well, it has certain connotations.",Michael
120,Like what?,Like… I don’t… I don’t know.,Michael
121,"What connotations, Michael? You meant something.","No. Now, remember that honesty…",Michael
122,I’m just curious.,"…empathy, respect… Jim! Jim!",Michael
123,Great.,Push it.,Michael
124,Thank you.,Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.,Michael
125,Who am I supposed to be?,"No, that was inadvertent. We didn’t actually plan that.",Michael
126,"Outback steakhouse. I’m Australian, mate!","Pam, come on. “I like your food.” Come on stir the pot. Stir the melting pot, Pam! Let’s do it. Let’s get ugly. Let’s get real.",Michael
127,Stop…,OK. All right. No. It’s good. You just need to push it. You need to go a little bit further. All right. OK.,Michael
128,I just had the longest meeting.,"Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi. Try my googi, googi. Try my googi, googi. Try my…",Michael
129,"Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi. Try my googi, googi. Try my googi, googi. Try my…","All right! All right! Yes! That was great, she gets it! Now she knows what it’s like to be a minority.",Michael
130,Maybe some spagh-etti.,"Okay, Kevin. You can take that off that thing, OK? That would really, really have shown him up, wouldn’t it? If I’d brought in some burritos or some colored greens. Or some pad Thai. I love pad Thai.",Michael
131,It’s collard greens.,What?,Michael
132,It’s collard greens.,"That doesn’t really make sense. Because you don’t call them collared people, that’s offensive. Hmmm… OK, well, it’s after five. So… Thank you very much. Buena vista Oscar. Thank you. Good job. Oh, my man. Thank you Brazil. Nice.",Michael
133,Thanks for filling these out. I promise this will be quick. We only have about an hour.,Yeah. I would like to see us erase 100 years of racism in an hour.,Michael
134,Does this company have 100 years to erase?,"No, the country.",Michael
135,"Oh right, more like 200 years.","Yeah, more like a 1,000.",Michael
136,"HERO, at Diversity Today, we believe it is very easy to be a HERO. All you need are honesty, empathy, respect and open-mindedness.","I just think that HERO? It’s cute, but it’s… It’s empty, you know? It’s easy. Dwight, you know what, I came up with some terms of my own. Could you put these on the board? The first one is Inclusion, New Attitudes, Color-blind…",Michael
137,"Oh, nice.",Expectations….,Michael
138,Good.,Thank you. Sharing…,Michael
139,Great.,And tolerance.,Michael
140,"Oh, my sorry. That is not appropriate.","Well, it’s not ideal but you have to give me some credit ’cause I made it into a word.",Michael
141,"Yeah, but it’s not appropriate. This is not helpful as a memory aid.","I will give you a number of reasons why it is, actually. Okay, first, incest is bad. Racism is bad. No brainer, right? Two, incest. We’re all a family, right? We’re all brothers and sisters. Racial message? Um? Number three, and this is a fact. The states where they have a lot of racism are the states where they have a lot of incest. Okay? And finally…",Michael
142,"Okay, Michael, I just…","No, no, no, no, wait. Final one, final one this is important. The more we can encourage interracial dating as a society the further away we get from incest, literally.",Michael
143,"Um, well I grew up here in Scranton and when I was a kid the guy who lived next door was a former baseball player, who actually played pro ball before the leagues were integrated. And he had the most incredible stories about…","Okay. I’m sorry, I’m sorry this guy’s a temp and I should’ve told you that.",Michael
144,"No, no, no, no. An outsider’s perspective would probably be pretty helpful.","Yeah, but no, seriously. Uh, you know, he’s not a member of the full staff so, uh, Ryan you wanna just step outside?",Michael
145,What do you want me to do?,"Well, maybe you should go down to the parking lot. You know what. Yes, go down to the parking lot and check to se if any of our guests have parked in the handicapped spots. Cool? ‘Cause the handicaps get a raw deal. Oh, you know what. That ties right into New Attitudes. New attitudes about handicap people. Very important.",Michael
146,"Dunder Mifflin, Michael Scott, Diversity Tomorrow, take four. And action.","Should I… turn, no. Do it again.",Michael
147,"Diversity Tomorrow, take five. Action.","Hi. I’m Michael Scott. I’m in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I’m also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, “If you’re a racist, I will attack you with the North.” And those are the principles… Damn it. Okay, sorry. Don’t laugh; please don’t laugh this time Dwight. You’re… it’s, it’s bugging me. Let me give myself a countdown, ready? Three, two, one.",Michael
148,Take six.,"Just let me do it! God! Three, two, one. Hi. I’m Michael Scott. I’m in charge of Dunder Mifflin Paper Products here in Scranton… Keep the camera steady please! People are gonna get sea sick watching this. Ready? Three, two, one.",Michael
149,Action.,"Don’t. Please don’t say anything. Oh, God.",Michael
150,"And action… Lights, camera, action. Whenever you’re ready.","Could I count myself down please, Dwight. Three, two, one. Hi. I’m Michael Scott. I’m in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I’m also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, “If you’re a racist, I will attack you with the North.” And those are the principles that I carry with me in the workplace.",Michael
151,"Damn it, Jim! That’s not funny, Jim!","Oh, okay. Here we go, breakthrough radar. What happened? What happened here?",Michael
152,It didn’t have anything to do with race.,"Okay, all right. Let’s keep on track. Keep on point. Let’s do it.",Michael
153,"Um, why did she slap Martin Luther King?","What, huh?",Michael
154,I think she wasn’t wearing a card.,It’s good. This is good. We got it happening now. All right? Let’s keep it rolling. Let’s round it up.,Michael
155,I’m not making any copies.,"Let’s go. Messages. Stat. Lots to do, lots to do. Information superhighway.",Michael
156,Nothing new.,Lay them on me. What?,Michael
157,There’s nothing new.,That’s not what you said earlier.,Michael
158,"So, which health plan have you decided on?","I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works.",Michael
159,"Wait, acupuncture? None of the plans have acupuncture. Have you looked at them closely Michael?",I think it was you who didn’t look closely enough at the Gold Plan.,Michael
160,The Gold Plan? I’m not even on that plan.,"Well, I’d recommend it. It’s very good.",Michael
161,Michael.,You gotta crack these things open.,Michael
162,"You know the whole reason that we’re doing this, is to save money. So you just need to pick a provider and choose the cheapest plan.","Well, that is kind of a tough assignment. Um… It won’t be popular decision around the old orifice.",Michael
163,It’s your job. So…,"Well, it’s a suicide mission, you know.",Michael
164,Michael… maybe… I mean…,"There, there…",Michael
165,"Sometimes a manager, like yourself, has to deliver the bad news to the employees. I do it all the time.",When have you ever done that?,Michael
166,… your problem.,Jimbo! Ha haaaaa. Ah.,Michael
167,Gosh.,Yeah!,Michael
168,That is a great offer. Thank you. I really think I should be concentrating on sales.,Really?,Michael
169,"OK, first, let’s go over some parameters. How many people can I fire?","Ah, none. You’re picking a health care plan.",Michael
170,"OK, we’ll table that for the time being. Two, I’ll need an office. I think the conference room should be fine.",You can use the conference room as a temporary workspace.,Michael
171,"Yes, I have an office. Bigger than his.","Nope, you cannot use it.",Michael
172,"OK, I take it back, it’s a workspace.",Temporary workspace. You can use it.,Michael
173,"Dunder Mifflin, this is Pam.","Pam, Michael Scott. How’s tricks?",Michael
174,Where are you?,"Oh, I am in my office. I am swamped. I have work up to my ears I’m busy, busy, busy. Can’t step away. I just wanted to check in and see how everybody’s doing. Everybody cool out there?",Michael
175,"Actually, people are really unhappy. Um, Dwight sent around this memo and people are freaking out ’cause the…","Pam! Whoa, whoa, I’m sorry, I’m sorry, I, I, I, I gotta go. I’m getting a call.",Michael
176,No you’re not.,"I have to make a call after I finish… my work. You know what? Uh, just don’t let anybody in my office under any conditions today. I’m just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?",Michael
177,OK.,"Thank you, Oh, gah, here we go again. Gotta go, I have to take this.",Michael
178,"Michael, can I talk to you?","Ah, uh, I would love to, but I am really busy. Rain check?",Michael
179,"Michael. Michael, please, can we talk to you about this memo?","Ah, what? Which memo?",Michael
180,Dwight’s health care memo. I told you about it.,Is it a good plan?,Michael
181,"Michael, he made huge cuts.","Cuts? What? Wow, Dwight, did you make cuts?",Michael
182,"Yeah, you said…","No, no , no, you know what? I said nothing specific because I was so busy. Why don’t you go in there and find these people a plan that will work for them? OK?",Michael
183,I can handle that.,"OK? All right. Do we feel good? All right. Good. Plus, there’s some other good news. Today, at the end of the day, I will have, for all of you, a big surprise. OK? So hang in there, and I will see you at the end of the day. Right?",Michael
184,Where are you going?,"Um, headed out. Part of my busy day, you know. Meetings. Couldn’t find the knob.",Michael
185,"I don’t know of anything like that, but, um, you know what you might want to do, is just call those casinos directly. Um, maybe?","Yeah, yeah, yeah. I did, so…",Michael
186,You mean the elevator that takes you down into the mineshaft? It’s not really a ride.,Its says here that it’s a 300ft drop.,Michael
187,"It goes 300 feet into the earth, but it moves really slowly.",So it’s not a free fall?,Michael
188,It’s an industrial coal elevator.,"Uh, all right. Well, once you get down into the mine, what… you got laser tag or something?",Michael
189,Did you get the kind with the cookies? Instead of the…,"Why don’t you just eat it, OK? And here you go, Stanley the manly.",Michael
190,"Oh, thanks.",There you go.,Michael
191,"This isn’t the big surprise, is it? Because we’ve been having a pretty horrible day.","Uh, nope. Nope. This isn’t the surprise. It’s surprising, um… because you didn’t expect it. But you will… you’ll know it when you see it.",Michael
192,Michael. Michael?,"Oh, Christ.",Michael
193,Well?,"Well, what? You could be referring to anything.",Michael
194,Why did you put Dwight in charge of that? He did a horrible job.,"Uh, Dwight? Did you raise benefits?",Michael
195,I most certainly did not.,"Oh come on! That’s horrible! Aaah… Thanks, Dwight, for a crappy plan. Ah, Damn! Oh, mmm, I wish I had time to change it, but Jan needs it by five, and… what time is it, what time is it? Ah, it’s after five. Oh, oh it’s awful. So, well, OK. See you guys on Monday.",Michael
196,What about the surprise?,"Oh… Yes. Exactly. Thank you Angela, for reminding me. Terrific. Um, before I tell everybody what the big surprise is, would you like to tell me what you think the big surprise is?",Michael
197,We all think you don’t have a surprise.,"All right, I have some news for you. There is a big surprise. And… here it is. Here we go. And the big surprise is… Brrrrrrrr! Drum roll… Brrrrrrrr! Brrrrrrrr!",Michael
198,Michael I need to talk to you.,"Sorry, too busy can’t even come to the door.",Michael
199,Michael.,"Yeah, no…",Michael
200,"Michael, Michael I… … inside.","You know what. I, um, I’m out the door. I’m going to a meeting. Pam, I’m headed out to another meeting. So see you later. Uh, here we go.",Michael
201,Hello.,"Hey, hey Craigers, my man! It is Michael Scott here. Dunder Mifflin, we supply your office paper.",Michael
202,"Oh, I think we already did our order this month.","No, no, no, no. No, actually to ask you a little favoroonie my friend. Um, here’s the deal. Um, trying to give the troops here a little bit of a boost. And I was thinking that maybe we could bring them down to go on your big ride.",Michael
203,You mean the elevator that takes you down into the mineshaft? It’s not really a ride.,"Well, it says here that it’s a 300ft drop.",Michael
204,"Well, it goes 300 feet into the earth, but it moves really slowly.",So it’s not a free fall?,Michael
205,It’s an industrial coal elevator.,"Uh, okay. So um, once you get down into the mine, what do you do? Is it like, uh… Do you have laser tag down there or something?",Michael
206,"No, you just look around. It’s a historically preserved coal mine.",That’s it?,Michael
207,"Well, there’s the adjacent Anthracite Heritage Museum. They got some really interesting old mining tools. There’s also a photo mural exhibit. Uh, bat guano sculpture.","Uh, he’s a small client. They don’t really buy much.",Michael
208,"Oh, um… Jan wants you to call her.",We’re all going bowling!,Michael
209,Michael!?,"Oh! God. Dwight, come on…",Michael
210,I wanted to talk to you about the downsizing?,There’s no downsizing.,Michael
211,"I, but if there were, I’d be protected as assistant regional manager?",Assistant to the regional manager Dwight.,Michael
212,"Yeah, so I don’t have to worry?","Look, look, look. I talked to corporate, about protecting the sales staff. And they said they couldn’t guarantee it if there’s downsizing, okay?",Michael
213,"Look, look, look. I talked to corporate, about protecting the sales staff. And they said they couldn’t guarantee it if there’s downsizing, okay?","But there’s no downsizing, so just don’t…",Michael
214,Bottom line. Do I need to be worried?,"Mmm, mm, mm. Maybe.",Michael
215,"Get set for Operation Morale Improvement starring Michael Scott. Now, I think I have had a little stroke of genius in that I have had my assistant Pam… Smile, Pam. I have had her go out and find out whose birthday is coming up, so we can have a little celebration for it. Not bad, not bad at all. All right. And the birthday person is… drum roll please. Here we go, who is the birthday, birthday person?",Who is it? Who’s the birthday?,Michael
216,"Um… Actually, we don’t have any staff birthdays coming up.",Next person on the…,Michael
217,Oh.,…calendar.,Michael
218,"Okay, umm… that would be Meredith.","Yes! All right, come on down Meredith!",Michael
219,But it’s not until next month.,"Um… uh, OK. Well, great, well, you know, it’ll be a surprise.",Michael
220,You still want to have a party?,"Yeah, why not? Sure. Go ahead, live a little. Come on, Pam. Come on, shake it up. Shake it up! Shake it up!",Michael
221,"Yeah, why not? Sure. Go ahead, live a little. Come on, Pam. Come on, shake it up. Shake it up! Shake it up!","Brrrp! Uh, Spock, are there any signs of life down there? Well, let me check Captain. Eeee. Eeee. Eeee. Eeee. No, Captain. No signs of life down here. Just a wet blanket named Pam. Brr-rrrp. Star Trek.",Michael
222,These are my party-planning beeyatches. Pulled off an amazing ’80s party last year. Off the hook!,"So I was thinking, if you haven’t already got a cake, um, maybe going for one of those ice-cream cakes from Baskin-Robbins. Those are very good. Very Delicious.",Michael
223,"Meredith’s allergic to dairy, so…","She’s not the only one that’s going to be eating it, right? I think everybody likes ice-cream cake. It’s not, uh, it’s not just about her, so…",Michael
224,It is… her birthday.,"Mint chocolate chip! That’d be good, how about some, mint chocolate chip?",Michael
225,"Meredith, Meredith… Meri… Mary had a little lamb. Mary… Meredith had a little lamb. Don’t bring that lamb to work or it’ll poop on the floor.","Hey, Oscar! Come on in. What’s up?",Michael
226,"Uh, I’m sorry to bother you.","Oh, not at all. Come on in. What’s going on?",Michael
227,"My nephew is involved with, um, a charity for cerebral palsy, and I was wondering if maybe you’d like to… you know… if…",What?,Michael
228,Donate to the charity?,"Oh, God. Of course I would. Get it over here. Get that over here.",Michael
229,Thank you.,"No, I’m always good… for some serious buckage. Wow. Two dollars, three dollars? People out here do not care about diseases. I am going to give you… $25.",Michael
230,That’s… that’s… that’s very generous.,"Oh, my gosh, well… Listen, Oscar, generosity and togetherness and community all convalescences into… morale. That’s what I say, so…",Michael
231,"Hey, you wanted to see me?",Yeah. What do you know about Meredith?,Michael
232,I don’t think she’d be missed.,"There’s not going to be downsizing Dwight, OK? I just, I need to know a little bit more about my friend.",Michael
233,"Name, Meredith Palmer. Uh, personal information, divorced twice, two kids. Uh, Employer, Dunder Mifflin Paper Incorporated. Awards, multiple Dundies.","I know all that. I know all that. I just, I need something kind of embarrassing, you know. Kind of fun, inside.",Michael
