quote_id,quote,character
17,"If Dwight fails, then that is strike two, and good for me for, ah, for giving him a second chance. And if he succeeds, then, you know, no one will be prouder than I am. I groomed him. I made him what he is today. Unless he fails, and we’ve talked about that already.",Michael
18,"Do I know what the surprise is? Hell no! It doesn’t matter. The point is, they’re not unhappy anymore. They’re out there thinking, “Wow, my boss really cares about me. He has a surprise. He’s cool. I… what a great guy. I love him. I…",Michael
19,"OK, so I don’t know what the surprise is. Am I worried? No. No way. See, I thrive on this. This is my world. This is improv. This is Whose Line is it Anyway?",Michael
20,"When I am backed into a corner, that is when I come alive. See I learned improve from the greats, like, um, Drew Carey and Ryan Stiles.",Michael
21,"God, yeah… Ah! This…",Michael
22,"Robin Williams. Oh, man, would I love to go head-to-head with him. Oh! That would be exciting. “Hi. I’m Mork from Ork.” Well, I’m Bork from Spork. Nanoo, nanoo. Jibelee, baloobaloo.",Michael
23,"It looks like there’s gonna be downsizing. And it’s part of my job, but… blah! I hate it. I think the main difference between me and Donald Trump is that, uh, I get no pleasure out of saying the words, “You’re fired.” “You’re foir-ed. Uh, you’re foir-ed.” It just makes people sad, and an office can’t function that way. No way. “You’re foir-ed.” I think if I had a catchphrase it would be, “You’re hired, and you can work here as long as you want.” But that’s unrealistic, so…",Michael
24,"Can you get her? She’s right there. That is Meredith, the birthday girl. And this… is Meredith’s card. Happy Bird-Day. Um, let’s see. Jim, Jim wrote, “Meredith, I heard you’re turning 46, but, come on, you’re an accountant. Just fudge the numbers.” Not bad, pretty funny, I don’t appreciate condoning corporate fraud though. Uh, here’s the thing. Whatever I write here has to be really, really funny. Because people out there are expecting it. I’ve already set the bar really high. And they’re all worried about their jobs, you know. It’s kinda dark out there. Can you imagine if I wrote something like, uh, “Oh, Meredith. Happy Birthday. You’re great. Love, Michael.”",Michael
25,"When I retire, I… don’t want to just disappear to an island somewhere. I wanna be the guy who gives everything back.",Michael
26,"A check for the kids, and for the team.",Michael
27,"I want it to be like… “Hey, who donated that hospital wing that is saving so many lives?” “Um, well, I don’t, I don’t know. It was anonymous.” “Well, guess what, that was Michael Scott.” “But it was anonymous, how do you know?” “Because I’m him.”",Michael
28,"Today at lunchtime we’re going to be playing the warehouse staff at a friendly little game of basketball. My idea. Last time I was down there, I noticed they’d put up a couple of hoops, and I play basketball every weekend. So I thought, “This might be kinda fun.” And so I started messing around and… I’m sinking a few, you know. Swish, swish, swish. Nothing but net. And their jaws just dropped to the floor. African-Americans! So… you know, it’s really just a good friendly game, a reason to get together.",Michael
29,"Classic beginner’s mistake, eating before a game.",Michael
30,"Aw, come on! What is wrong with me today!? Usually hit those. Dwight, I was open. All right, let’s go.",Michael
31,"When I am playing hoops all of the stress and responsibility of my job here just melts away. It’s gone, I’m in the zone.",Michael
32,What is wrong with me today?!,Michael
33,"Who am I? Am I Michael Scott? I don’t know… I might just be a basketball machine. What’s Dunder Mifflin? I’ve never heard of it. Filing? Paperwork? Who cares? Possible downsizing? Um… well, that’s probably gonna happen, actually.",Michael
34,"Football is like rock and roll, it’s just bam-bam-boo… And basketball is like jazz, you know? You’re kind of… Dupee-doo, dupee-do. It’s all downbeat, it’s in the pocket, it’s like… Dupee-do, dupee-do, dapee-dah…",Michael
35,"Shoot, shoot it. Whoa, whoa, whoa, whoa! Foul! Naked aggression! Oh, that is… You all right Jim? Suck it up.",Michael
36,"Watch the long passes, you guys!",Michael
37,The great thing about sports is that it is all about character. And you can learn lessons about life even if you don’t win. But we did because we were ahead.,Michael
38,"Do I have a nickname on the court, um? Well, The Answer would be nice, but it’s taken. So, uh, probably The Question. The Answer dishes to The Question. The Question back to The Answer. Answer over to The Question. The Answer, whew, three points. The Question, whew, whew, six points. Nothing but net. Question, who’s the best player in the league? Answer, The Question. Or the Drunkmeister.",Michael
39,"Birdie. He’s not the guy with the cheeks. Kenny G. Is… if you knew jazz, you’d know who I mean. Kenny G. God. Glad I remembered that. Jazz people know who he is.",Michael
40,"I do. I read Small Business man. I also uh, subscribe to USA Today and American Way Magazine, that’s the in-flight magazine. Some great articles in that. They did this great profile last month of Doris Roberts and where she likes to eat when she’s in Phoenix. Illuminating.",Michael
41,"I live by one rule. No office romances. No way. Very messy. Inappropriate. No. But, I live by another rule: Just do it. Nike.",Michael
42,"Coffee is the great incentivizer in the office. It’s a drug. It is quite literally a drug that speeds people up. It’s not the only drug that speeds people up. You hear stories about Dunder Mifflin in the eighties before everybody knew how bad cocaine was. Guh. Man, did they move paper!",Michael
43,"I think in order to be a ladies man, it’s imperative that people don’t know you’re a ladies man, so I kind of play that close to the chest. I don’t know, what can I say? Women are attracted to power. And I think other people have told me that I have a very symmetrical face. I don’t know. I don’t know. Maybe they’re right? I don’t know.",Michael
44,"Do I have a special someone? Uh well, yeah of course. A bunch of ’em. My employees. If I had to choose between a one-night-stand with some stupid cow I pick-up in a bar, and these people? I’d pick them every time. Because with them, it is an everyday stand and I still know their names in the morning.",Michael
45,"T.M.I.? Too much information. Ah, it’s just easier to say T.M.I. I used to say “Don’t go there” but that’s… lame.",Michael
46,To Oscar Martinez it’s the “Show Me the Money” award! Yeah!,Michael
47,"This is a little character I like to do , it is, uh, loosely based on Karnack, one of Carson’s classic characters. Here we go. The PLO, the IRA, and the hot dog stand behind the warehouse. “Name three businesses that have a better health care plans than Dunder Mifflin.” Here’s the problem. There’s no open bar because of Jan and it’s the reason why comedy clubs have a two drink minimum. It’ll be fine, I just…wish people were going to be drunk.",Michael
48,"“The Dundies, how can I explain it? Awards you like to hate it. I’m psyched you all made it. You never had to work so hard and feel that no one notices you. You’re just a name and number and no one even says hello.” Card!",Michael
49,"Alright, so let’s get this party staaaarrrrted.",Michael
50,Herro everybodeeee. I’m gonna cwall Jan Revinson-Gould.,Michael
51,"It’s so freakin’ hot in there. Now I know what Bob Hope was going through when he performed in Saudi Arabia. Man! I got Dwight sucking the funny out of the room, but you do what you can do. Here we go, he’s early with the cue. Here we go.",Michael
52,"Was this year’s Dundies a success? Well, let’s see, I made Pam laugh so hard, that she fell out of her chair, and she almost broke her neck. So I killed, almost.",Michael
53,I have listened to that song so many times and I still don’t know what OPP stands for. Other people’s… Something. I…,Michael
54,"I am king of forwards. It’s how I like to do business, everybody joking around. We’re like ‘Friends’. I am Chandler and Joey and, uh, Pam is Rachel. And Dwight is Kramer.",Michael
55,"Todd Packer and I are total BFF. Best Friends Forever. He and I came up together as salesmen. One time, we were out and we met this set of twins. And Packer told them that we were brothers. And so, you know, one thing led to another, and we brought em back to the motel. And then Packer did both of them. It was awesome. So…",Michael
56,Toby is in HR which technically means he works for Corporate. So he’s really not a part of our family. Also he’s divorced so he’s really not a part of his family.,Michael
57,"A guy goes to a five dollar… lady of the night and he gets crabs. So, the next day he goes back to complain. And the woman says “Hey. It was only five dollars. What did you expect? Lobster?” This is what’s at stake.",Michael
58,"When I said before that I was king of forwards, you got to understand that I don’t come up with this stuff. I just forward it along. You wouldn’t arrest a guy who’s just delivering drugs from one guy to another.",Michael
59,"I am so used to being the bad boy. I am so used to fighting Corporate that I forget that I am Corporate. Upper management. They hooked me up with an attorney. To protect me. You can’t be too careful about what you say. Mo’ money, mo’ problems.",Michael
60,"Times have changed a little. And even though we’re still a family here at Dunder-Mifflin, families grow. And at some point, the daddy can’t take a bath with the kids anymore. I am Upper Management. And it would be inappropriate for me to take a bath with Pam. As much as I might want to.",Michael
61,"There’s a basic principle in real estate, that you should never be the best-looking person in the development. It’s just sorta common sense, because if you are, then you’ve no place to go but down.",Michael
62,"Why did I do it? Because I believe in rewarding people for their efforts. Ah. I rewarded Dwight with the room, and he is rewarding me back, ah, with $500 plus utilities.",Michael
63,Ryan’s about to attend the Michael Scott School of Business. I’m like Mr. Miyagi and Yoda rolled into one.,Michael
64,Hey!,Michael
65,"Yes, I was the first one out. And, yes, I’ve heard women and children first. But, we do not employ children. We are not a sweat shop. Thankfully. And, uh, women are equal in the workplace by law. So, I let them out first, I have a lawsuit on my hands.",Michael
66,"When I was Ryan’s age, I worked in a fast food restaurant, to save up money for school. And then I spe… lost it in a pyramid scheme. But I learned more about business, right then and there, than business school would ever teach me, or Ryan would ever teach me.",Michael
67,"I did not go to business school. You know who else didn’t go to business school? LeBron James, Tracy McGrady, Kobe Bryant. They went right from high school to the NBA. So… so it’s not the same thing. At all.",Michael
68,"Hey! I know what’ll impress everybody, I’ll start a fire. Oh, man. Bad idea. Bad idea jeans.",Michael
69,"Okay. Rule five – safety first, i.e. don’t burn the building down. Okay? That should be a no brainer.",Michael
70,Oh… look! Ryan is book smart. And I am street smart. And book smart.,Michael
71,I’ll give you the rest of the ten tomorrow.,Michael
72,It’s not a popularity contest. Although it does make sense to fire the least popular because it has the least effect on morale.,Michael
73,"Yeah, I went hunting once. Shot the deer in the leg, had to kill it with a shovel. Took about an hour. Why do you ask?",Michael
74,"Devon, could I talk to you for a sec?",Michael
75,"I love Halloween. You know, it’s just, it’s just fun. Every year, it’s just fun. Last Halloween I came as Janet Jackson’s boob. It was topical. People got a… a big kick out of it. The year before that, I came as Monica Lewinsky, and I wore a stained dress. The year before that, I also came as Monica Lewinsky. And before that, I was O.J. It was pretty funny. Oh, I wish you were here last year.",Michael
76,"All right. All right, this is it. By the time I get back to our floor, I will have decided. Wow, that’s a fast elevator.",Michael
77,"I’m friends with everybody in this office. We’re all best friends – I love everybody here. But sometimes your best friends start coming into work late, and start having dentist appointments that aren’t dentist appointments. And that’s when it is nice to let them know that you can beat them up.",Michael
78,"You talkin’ to me? You talkin’ to me? “Raging Bull.” Pacino. Oh, I want that footage. I want it. I need it. Ah, I have to get back to work. I have lots of work… Oh, oh check this out. Come here. There he is. Mr. Temp. Having lunch by the car. Let us play with him. This’ll be hilarious. Oh, we’re playing phone tag.",Michael
79,"I told Dwight that there is honor in losing. Which, as we all know, is completely ridiculous, but there is, however, honor in making a loser feel better which is what I just did for Dwight. Would I rather be feared or loved? Um, easy. Both. I want people to be afraid of how much they love me. And I think I proved that today at the dojo.",Michael
80,"God, you look like such an idiot.",Michael
81,"Jan Levinson-Gould. Jan is cold. If she was sitting across from you on a train and she wasn’t moving, you might think she was dead.",Michael
82,"That’s why I wanted a signal, between us, so that I wouldn’t have to just shout non-sense words. That’s her fault.",Michael
83,"Morning, Pam. Hey.",Michael
84,"No, nothing happened. I-I swear, nothing happened. What, I’m, totally being serious. A gentleman does not kiss and tell, and neither do I. No, seriously, guys, I’m not, I don’t want to go into it at all. It’s off limits. Fine, I took her back to her hotel and we made out for a little while. It was great. I mean she told me about her divorce, we talked for about five hours, she fell asleep on my arm. So.",Michael
85,"I know we have to register as a consensual sexual relationship with HR. My question: do I do it as the man? Does she do it as my superior? I don’t know. That leads to other issues that we may have in our relationship. It’s, uh, Excuse me. Hello? Hi! Just talking about you. The camera? No. Uh huh. How’s traffic? I miss you. What. Ok. Well, if it was a mistake, it was a wonderful mistake. No. Would you excuse me? No, I did not intentionally get you drunk. Um hmm. No, no. This is just a fight. This is just a first fight of many fights we’re gonna have. Right. No. Wha-so-I don’t understand, you wanna see other people. Only other people. Wh-why, ok, I think you’re still a little bit drunk Excuse me? Excuse me?! I think you’re, yes, why don’t you just come back here, go to the hotel, have a few drinks and-no, no. I didn’t slip you something!",Michael
86,"Pam, could I see you in my office?",Michael
87,"My boss is coming in today, the lovely Jan Levinson-Gould will, well, no Gould. The Gould has been swack, divorced. Um, the awkward part is that this will be the first time that we’ll be seeing each other since, well, uh, it was really nothing. We just sort of got caught up in the moment. The vulnerable divorcee gives herself to the understanding, with rugged good-looks, office manager. Just, uh, she didn’t want it to continue for some reason. It, we both, I didn’t want it, we both didn’t want it to continue. Was not professional. Um, when people say something’s mutual, it never is. But this was mutual.",Michael
88,"Good work, Stanley. Great performance review. Stanley in the house, everybody. Woo! Angela, your turn.",Michael
89,"I’m a little confused. ‘Cause first it’s all like kissy-kissy. And then it’s like all regret. Because “Oh, I regret that.” But, “Wait, I’m still gonna call you.” But, but, “We’re just gonna talk business. And I may come down and fire you if you don’t do your job.” But what were talking about when we first kissed? Business.",Michael
90,Jan is not in a place where she feels she can have a relationship right now. And it doesn’t matter how great a guy I am. And that is all I needed; I’m good. I can go home now.,Michael
91,"“I am not going to discuss anything outside of Dunder Mifflin business, period.” Okay. Now, why would Jan say she only wants to talk business and then make it clear that she is on her period? God, I don’t understand women. How about a clear signal, right? Is that too much to ask?",Michael
92,"Hello, is this R. Gould? Hi there. My name is Michael Scott, I work at Dunder Mifflin. I believe I work with your wife, ex-wife, Jan. Yeah, that’s right, yes. Um… I was wondering if I could ask a personal question about her. Mmm-hmm. Okay, well, could I ask anyway? Uh-huh. Well, I’m just gonna ask. When you guys were dating was she sort of easy to get and then really hard to get?",Michael
93,"Yeah, that Gould is a real interesting guy, a gem. I can see why he and Jan are no longer together. If my conversation with him is any measure of their relationship, he was verbally abusive, he was curt. He was… He had an inability to communicate, shall I say? He was emotionally unavailable. I don’t know how she dealt with that as long as she did.",Michael
94,"What is an office? Is it a group of people? Maybe. Is it an idea? Of course, yes. Is it a living organism? Exactly, yes. And any single cell organism has to have a spine, and that’s me. But the spine is always controlled by a brain, and that is Jan. But the brain needs a heart, and that is me again. So ironic. You know what? The heart is smarter than the brain. But the brain is so effing hot.",Michael
95,The IT tech guy and me did not get off to a great start.,Michael
96,"There are certain things a boss does not share with his employees. His salary, that would depress them. His bed, it— And I am not going to tell them that I’ll be reading their e-mails.",Michael
97,"Meredith has an E-vite from Jim. Barbeque at Jim’s tonight. Tonight? Wonder where my e-vitation is. Click on guest list. Angela, Stanley, Oscar, Meredith, Phyllis, Kevin, Creed. Must be… . No.",Michael
98,"There’s always a distance between a boss and the employees. It is just nature’s rule. It’s intimidation mostly, it’s the awareness that they are not me. I do think that I am very approachable, as one of the guys. But maybe I need to be even approachabler.",Michael
99,"Think about this; what is the most exciting thing that can happen, on TV, or in movies, or in real life? Somebody has a gun. That’s why I always start with a gun, because you can’t top it, you just can’t.",Michael
100,"Funny story: the way that I got into improv was, I got into improv. The story about me getting into improv was that I was walking down the street, and a race car pulls up, and the guy says “Hey you’re funny, you’re the funniest guy I’ve ever seen, or my name is not Dale Earnhardt.” And that was an improv. Um, the real way is that I found a flyer.",Michael
101,"It was a tough year. I had to fire somebody this year. This party has to really rock. Check it out. Christmas bonus. 3,000 G’s. I got this for helping save the company money. So I guess some good came out of firing Devon after all. Maybe I should call him and tell him that.",Michael
102,"Presents are the best way to show someone how much you care. It’s like this tangible thing that you can point to and say, “Hey, man, I love you this many dollars worth.”",Michael
103,"So Phyllis is basically saying, “Hey Michael, I know you did a lot to help the office this year but I only care about you a homemade oven mitt’s worth.” I gave Ryan an iPod.",Michael
104,Everyone wants the iPod. It’s a huge hit. It is almost a Christmas miracle.,Michael
105,"Reverse psychology is an awesome tool. I don’t know if you guys know about it, but basically you make someone think the opposite of what you believe and that tricks them into doing something stupid. Works like a charm.",Michael
106,"Unbelievable. I do the nicest thing that anyone has ever done for these people and they freak out. Well, happy birthday, Jesus. Sorry your party’s so lame.",Michael
107,Lampshade on head! It’s happening!,Michael
108,"Christmas is awesome. First of all, you get to spend time with people you love. Secondly, you can get drunk and no one can say anything. Third, you give presents. What’s better than giving presents? And fourth, getting presents. So, four things. Not bad for one day. It’s really the greatest day of all time.",Michael
109,Phyllis and Angela and Meredith are helpers. I guess Angela’s kind of… Angela’s little. Phyllis and Meredith are not little. Pam is sort of a medium helper.,Michael
110,"Dwight is… Dwight looks like Spock to me. He always wears the ears, and I always give him grief about looking like Spock, and he hates it because he has a different pair of ears that he wears to be Spock, for some reason.",Michael
111,"See, that’s what Christmas is all about to me, is when you see someone open a gift and you think, “Man, I wish I got that.” I mean, that’s just such a great feeling, to watch other people envying a gift that you gave to somebody else. I don’t know, it’s just… I don’t know, just makes you kind of feel good.",Michael
112,This is not just another party. This is a leadership training exercise. Right? I’m going to combine elements of fun and motivation and education into a single mind-blowing experience.,Michael
113,"I am a great motivational speaker. I attended a Tony Robbins event by the airport last year, and… it wasn’t the actual course. You have to pay for the actual course. But it talked about the actual course. And I’ve incorporated a lot of his ideas into my own course.",Michael
114,"Leader… ship. The word “ship” is hidden inside the word “leadership,” as its derivation. So if this office is, in fact, a ship, as its leader, I am the captain. But we’re all in the same boat. Teamwork!",Michael
115,"A three-hour tour, a three-hour tour.",Michael
116,"In an office, when you are ranking people, manager is higher than captain. On a boat, who knows? It’s nebulose.",Michael
117,"Hey, look! I’m king of the world!",Michael
118,Sometimes you have to take a break from being the kind of boss that’s always trying to teach people things. Sometimes you have to just be the boss of dancing.,Michael
119,"I’m in the brig. See? The boat’s not as corporate-friendly as advertised. What was the deal with the guy jumping overboard? What was… if he had just waited and heard what I had to say, he would be motivated right now and not all wet.",Michael
120,Those slide moves are just bush league. I hope I die before I’m old.,Michael
121,"I enjoy having breakfast in bed. I like waking up to the smell of bacon, sue me. And since I don’t have a butler, I have to do it myself. So, most nights before I go to bed, I will lay six strips of bacon out on my George Foreman Grill. Then I go to sleep. When I wake up, I plug in the grill, I go back to sleep again. Then I wake up to the smell of crackling bacon. It is delicious, it’s good for me. It’s the perfect way to start the day. Today I got up, I stepped onto the grill and it clamped down on my foot… that’s it. I don’t see what’s so hard to believe about that.",Michael
122,"No, nope, no one is helping me out at all Mom. No, I’m not gonna call Jan. She’d just worry… drive down here and make a big thing… Who told you that? No, it was mutual. What is Pam doing chatting with you?",Michael
123,Did you see Born on the Fourth of July? I was under the impression that Billy would be more like that guy.,Michael
124,You know what? I feel better. Ryan brought me some chocolate pudding and his kindness healed my foot.,Michael
125,"Yeah, baby, I am feelin’ better. My body’s literally healing itself. It is amazing what the human body is capable of when you have a powerful brain.",Michael
126,The rules of shotgun are very simple and very clear. The first person to shout “shotgun” when you’re within the sight of the car gets the front seat. That’s how the game’s played. There are no exceptions for someone with a concussion.,Michael
127,"Jim and I are great friends. We hang out a ton, mostly at work. But, the fact that he told me his secret and no one else knows says everything about our friendship. And it is why, I intend on keeping that secret for as long as I possibly can.",Michael
128,"Oh man, you should order milk. Get it?",Michael
129,"Why do I like Hooters? Well I will give you two reasons, the boobs and the hot wings.",Michael
130,"Uhhh it’s ridiculous. They took my card away because I spent $80 bucks at a magic shop. What they don’t understand is that I bought the stuff to impress potential clients. So business related, right?",Michael
131,"People are always coming to me. “Michael, I have a secret. Your the only one I trust.” No thanks, because keeping a secret can only lead to trouble. Like I was watching Cinemax last weekend. This movie, Portrait of a… Prostitute something. Secrets of a Call… More Secrets of a Call Girl. And the lead character, Shila, is framed for murder. She goes on the run and winds up working at a bordello in Malibu. I don’t, I don’t want to live like that. I like it here. I don’t want to be Shila, I like being Michael Scott.",Michael
132,"I am a big Fear Factor fan. I’m a big fan of anything Joe Rogan does, actually, so this is sort of like my audition tape. Um… I can’t stand it , I can’t stay in here another second. No!",Michael
133,"Ed Truck. Ed Truck was the manager before me. Horrible. He hated fun. It was like, “Oh, Ed Truck is walking toward us. Stop having fun. Start pretending to do work.” What a jerk. He’s… You know what? I swore to myself that if I ever got to walk around the room as manager, people would laugh when they saw me coming and would applaud as I walked away.",Michael
134,"When I was in training, many years ago… not so long ago… I worked side-by-side with a fellow named Todd Packer, and together we rocked the office . Packer and I once spent the whole day with our pants off, and when people noticed, we convinced them that",Michael
135,"Another time, Packer held this guy’s head in the toilet for like a minute. Guy had no sense of humor about it. Probably why he wasn’t hired.",Michael
136,"Once, as a joke, Packer banged every chick in the office. It was hysterical.",Michael
137,"Why would somebody ruin a perfectly good carpet? I don’t know. It could be done out of hate. It could be done out of love. It could be completely neutral. Maybe somebody hates the cleaning lady. And, well, she doesn’t do a very good job, obviously, because my office still reeks like you would not believe. I hate her.",Michael
138,You know what? I am beginning to think that what happened to my carpet was an act of terrorism against the office. The only thing that makes any sense.,Michael
139,This was no act of God. A person did this. A person who works in this office. Maybe all of them.,Michael
140,"Last week I would have given a kidney to anyone in this office. I would have reached right into my stomach and pulled it out for them. But now, no. I don’t have the relationship with these people that I thought I did. I hope they ask, so they can hear me say, “Uh… no. I only give my organs to my real friends. Go get yourself a monkey kidney.”",Michael
141,"It takes an advanced sense of humor. I don’t expect everybody to understand. It was done out of love, just like I thought. It’s ah… God, these people are so… these are good people. We have fun. We just have fun! Oh, I’m just so sorry that I threw the thing out.",Michael
142,"Women in the workplace… yeah, translation “I have been banned from my own conference room so that Jan can talk in secret to all the girls.” Oh! Sorry. ‘Women of the workplace.’ About what? I don’t know. Clothes. Me. Eeegkh!",Michael
143,"Everyone. Guys. Circle up, please. Come on over. Bring your chairs. Toby, come on over. You’re a guy… too… sort of. Let’s do this!",Michael
144,"Well, first of all, I, uh, just want to warm up a little bit. Let’s just clap.",Michael
145,"Oh, I think it’s going to work out great. Because managing the warehouse is a very important part of my job. And I haven’t been there in months.",Michael
146,Uhhuhhuh. Just in case there’s someone down here who shouldn’t be. A little “Good Will Hunting” situation. All right. Troops. This is an important day. Big day. Now you may look around and see two groups here. White collar. Blue collar. But I don’t see it that way. And you know why not? Because I am collar-blind.,Michael
147,Check this out! Look at that! Look at that bwup-bwa! Hello! How are… Oh! Kay. That is great. That is good stuff.,Michael
148,Part of my job is knowing how to talk to women.,Michael
149,"Cold front coming into the Warehouse. Uh oh! Better put on your ski boots! Woohoohoowoo. Waaaah! Happy New Year, Darryl! Hey,Darryl. You ever done this?",Michael
150,Pizza. Great equalizer. Rich people love pizza. Poor people love pizza. White people love pizza. Black people love pizza. Do black people like pizza?,Michael
151,Ahhh! Excellent.,Michael
152,Is it good to be back. Yeah. I mean I love the guy stuff but to run an office you need men and women. You know why? Because you need to have that crazy sexual tension to keep things interesting.,Michael
153,"This is a business trip. I would have to be a raving lunatic to try to talk to Jan about what happened between us. Her words, not mine. She sent me an email this morning. But, it is Valentine’s Day. It’s New York. City of Love.",Michael
154,"Well here we go. On our way to New York. New York, New York. City so nice they named it twice. Manhattan is the other name.",Michael
155,"The meeting isn’t ’til three, but I always like to come to New York little bit early and hit some of my favorite hunts, like right here, is my favorite New York pizza joint. And I’m gonna go get me a New York slice.",Michael
156,"Here it is, heart of New York City, Times Square. Named for the good times you have when you’re in it. Most people when they come to New York, they go straight to the Empire State Building, that’s pretty touristy. I come here. Great places to eat. We have Bubba Gump Shrimp, Red Lobster down there. Ya know. This is, this is the heart of civilization, right here.",Michael
157,"Everybody takes the subway in New York. It’s fast, it’s efficient, gets you there on time. It’s a way to Okay, there’s a guy pooping in a cardboard box down there.",Michael
158,"This is the world famous Rockefeller Center. Founded, of course by Theodore Rockefeller. This is a skating rink and I think the Rangers practice there sometimes and it’s, that’s Tina Fey . That’s Tina Fey from Saturday Night Live. Hello? Hello, hi? OH, I’m sorry, I thought you were , OK, I thought that was. She, she looked a lot like Tina Fey. Hello, hello, I thought that was Tina Fey, but it wasn’t. So… Are you serious? He was here? When, when I was talking to the fake Tina Fey? Come on! And are you, argh.",Michael
159,"I would love to live in New York someday. It’s a big dream of mine. Work for corporate, with Jan. It’d be awesome. Go to Broadway shows, eat hot dogs. Scranton is great, but New York, is like Scranton on acid, no on speed, no on steroids. OK, umm, I think, that’s either the Hudson or the East, so we’re back, should be back this way. There’s a lotta pressure on me right now. It’s like Michael Jordan, in the NBA finals. Or, like Stormin’ Norman Schwarzkopf, and this presentation is desert storm and as soon as it’s over, we will not have to deal with those Iraqis anymore. Let’s do it.",Michael
160,"Yeah, I shot a bunch of footage around the office, edited it together on my Mac. I was thinking of entering it into some festivals. Probably won’t. You know, not what this is about.",Michael
161,Oy vey… schmear.,Michael
162,"I love you, Angela. Yes, even you. I love you, Kelly. I love you, Meredith. This is all platonically, of course.",Michael
163,"I love ladies, always have. And you know what I think is the most attractive part of a woman’s body? The brains. Because I don’t think a woman is beautiful unless she is smart. And also, the brains are where the ladies get their best nasty ideas for bedroom stuff.",Michael
164,"Okay, here’s the thing about Jan. She talks such a big game about, “Oh there’s nothing between us and stop talking about it.” And “Border-line harassment when you call me at home.” But let me ask you this, is it just a coincidence that this meeting is taking place on Valentine’s Day? Answer, maybe, but maybe not. We shall see.",Michael
